Order_ID,Order_Date,Customer_ID,Customer_Name,Product_Name,Category,Region,Price,Cost,Quantity,Discount,Shipping_Method,Shipping_Cost,Payment_Method,Revenue,Total_Cost,Profit,Profit_Margin_%,Year,Month,Month_Name,Quarter,Day_of_Week
ORD00001,2022-04-13,CUST0790,Customer_1,Bluetooth Speaker,Gadgets,Central,49.99,34.993,5,20,Overnight,50,PayPal,199.96,224.96,-25.0,-12.5,2022,4,April,Q2-2022,Wednesday
ORD00002,2023-03-12,CUST0642,Customer_2,Charger Fast,Accessories,South,499.0,329.34000000000003,4,20,Overnight,50,Wallet,1596.8,1367.36,229.44,14.37,2023,3,March,Q2-2023,Sunday
ORD00003,2022-09-28,CUST0031,Customer_3,Webcam HD,Electronics,Central,39.99,27.5931,8,5,Overnight,50,Wallet,303.92,270.74,33.18,10.92,2022,9,September,Q4-2022,Wednesday
ORD00004,2022-04-17,CUST0375,Customer_4,Screen Protector,Gadgets,West,799.0,599.25,1,0,Overnight,50,Debit Card,799.0,649.25,149.75,18.74,2022,4,April,Q2-2022,Sunday
ORD00005,2022-03-13,CUST0011,Customer_5,Smart Watch,Electronics,South,999.0,639.36,1,10,Standard,10,Credit Card,899.1,649.36,249.74,27.78,2022,3,March,Q2-2022,Sunday
ORD00006,2023-12-02,CUST0988,Customer_6,Phone Stand,Accessories,South,59.99,38.3936,6,0,Pickup,0,Debit Card,359.94,230.36,129.58,36.0,2023,12,December,Q5-2023,Saturday
ORD00007,2022-01-21,CUST0302,Customer_7,Wireless Mouse,Accessories,North,299.0,218.26999999999998,2,20,Pickup,0,PayPal,478.4,436.54,41.86,8.75,2022,1,January,Q1-2022,Friday
ORD00008,2023-09-07,CUST0096,Customer_8,External SSD 1TB,Accessories,South,99.0,76.23,3,20,Standard,10,Debit Card,237.6,238.69,-1.09,-0.46,2023,9,September,Q4-2023,Thursday
ORD00009,2022-05-02,CUST0190,Customer_9,HDMI Cable,Gadgets,North,59.99,40.1933,4,5,Pickup,0,Credit Card,227.96,160.77,67.19,29.47,2022,5,May,Q2-2022,Monday
ORD00010,2023-04-12,CUST0453,Customer_10,Webcam HD,Gadgets,Central,499.0,394.21000000000004,2,20,Pickup,0,Debit Card,798.4,788.42,9.98,1.25,2023,4,April,Q2-2023,Wednesday
